S_10: 149
S_104: 102,140
S_107: 75
S_108: 140
S_126: 24,34,100
S_131: 40
S_133: 123,125,139
S_15: 67,68
S_151: 11
S_156: 29,47,55,59,62,65
S_175: 5,29,30,73
S_177: 33
S_179: 106
S_18: 124,126
S_188: 25
S_189: 113,114,115,116,117,118,120
S_19: 15
S_2: 68
S_25: 38,90,120,121,122,123,124,125,126,140
S_26: 69,118
S_29: 36,119,148
S_36: 127
S_37: 36
S_4: 81
S_41: 121
S_45: 42
S_46: 127
S_50: 14
S_52: 49,91
S_55: 23
S_56: 59,81,83
S_71: 73,116
S_8: 34
S_83: 91,148
S_86: 99,100,101,102,103,104,105,106,107,109,110,111
S_88: 59
S_93: 61
S_97: 15
