threshold,learning_rate,batch_size,hidden_size,mIoU,avg_prediction_time
0.005,0.05,4,32,0.552872276021184,0.0021191202864354972
0.005,0.05,4,64,0.5370445904563498,0.002060124547418978
0.005,0.05,4,128,0.563225804765476,0.0021675800790592115
0.005,0.05,8,32,0.5362829952897086,0.003295631867456019
0.005,0.05,8,64,0.5718199308087167,0.0031097529580919807
0.005,0.05,8,128,0.5275511208728855,0.0033712102094822652
0.005,0.05,16,32,0.547398720922416,0.006278767877695512
0.005,0.05,16,64,0.5686627486817428,0.006458709955910552
0.005,0.05,16,128,0.5710343788557009,0.0065862430427929405
0.005,0.01,4,32,0.8538625240325928,0.0020612721540489974
0.005,0.01,4,64,0.8217298984527588,0.0020849145188623543
0.005,0.01,4,128,0.8489949107170105,0.0021738065922573078
0.005,0.01,8,32,0.8347803950309753,0.003247045914563771
0.005,0.01,8,64,0.8426529765129089,0.0030780429395225236
0.005,0.01,8,128,0.8725423812866211,0.0034236084267974943
0.005,0.01,16,32,0.7365286946296692,0.006338394070505749
0.005,0.01,16,64,0.7339354753494263,0.00654342292696672
0.005,0.01,16,128,0.8387444019317627,0.006702863092672721
0.005,0.005,4,32,0.728029727935791,0.0021106807553038305
0.005,0.005,4,64,0.8334188461303711,0.0021007716134407778
0.005,0.005,4,128,0.8645278811454773,0.0021667275414870013
0.005,0.005,8,32,0.800760805606842,0.0033008169502280545
0.005,0.005,8,64,0.7487192749977112,0.0030686108085921484
0.005,0.005,8,128,0.8336682915687561,0.0034554477335760267
0.005,0.005,16,32,0.7770015001296997,0.0064030124564212546
0.005,0.005,16,64,0.7615917921066284,0.00628830253556588
0.005,0.005,16,128,0.7032107710838318,0.006678481838793518
0.005,0.001,4,32,0.7885104417800903,0.0020682135754354495
0.005,0.001,4,64,0.8218827843666077,0.0021193722594236145
0.005,0.001,4,128,0.7990160584449768,0.0022108883273844818
0.005,0.001,8,32,0.7756736278533936,0.0033063037054879324
0.005,0.001,8,64,0.743108868598938,0.0031402893038602335
0.005,0.001,8,128,0.7640736699104309,0.003348444015569659
0.005,0.001,16,32,0.7325108647346497,0.0062670589535994015
0.005,0.001,16,64,0.7052931189537048,0.006257022435046494
0.005,0.001,16,128,0.7687839269638062,0.006559137700250475
0.01,0.05,4,32,0.6854884028434753,0.0020952693922526634
0.01,0.05,4,64,0.5706735878165651,0.0020637901461854273
0.01,0.05,4,128,0.5582061522021273,0.002127257623755897
0.01,0.05,8,32,0.5023615541971449,0.003347314829033943
0.01,0.05,8,64,0.5589704270852607,0.003191980259063988
0.01,0.05,8,128,0.5736396054600466,0.0034904146333477586
0.01,0.05,16,32,0.7145798206329346,0.006271502714462948
0.01,0.05,16,64,0.5691488981246948,0.006473626061709212
0.01,0.05,16,128,0.7939394116401672,0.006605017637024815
0.01,0.01,4,32,0.824072539806366,0.0020443553827246843
0.01,0.01,4,64,0.8489255905151367,0.002068101838448305
0.01,0.01,4,128,0.8383811116218567,0.002208263463946195
0.01,0.01,8,32,0.8424836993217468,0.0033299849957835917
0.01,0.01,8,64,0.8503046631813049,0.003119861419277358
0.01,0.01,8,128,0.8145325779914856,0.0033626038548550175
0.01,0.01,16,32,0.7821786999702454,0.006284592102984993
0.01,0.01,16,64,0.7559343388571274,0.006386364166660142
0.01,0.01,16,128,0.7171388976432075,0.007185342360515983
0.01,0.005,4,32,0.8483850955963135,0.0030022322610237856
0.01,0.005,4,64,0.8023195266723633,0.0029057438102477492
0.01,0.005,4,128,0.8724632263183594,0.0030919859082636264
0.01,0.005,8,32,0.8442216515541077,0.0035397436458932414
0.01,0.005,8,64,0.8522863388061523,0.0028753655992513494
0.01,0.005,8,128,0.8515486121177673,0.0034602717129899184
0.01,0.005,16,32,0.8166197538375854,0.008479459640236012
0.01,0.005,16,64,0.7787832021713257,0.00540692604665506
0.01,0.005,16,128,0.7917068600654602,0.007597392224014327
0.01,0.001,4,32,0.7433522939682007,0.001754585403742665
0.01,0.001,4,64,0.8042477369308472,0.0022769238441400557
0.01,0.001,4,128,0.7659909129142761,0.0029626203695469625
0.01,0.001,8,32,0.7104375909885596,0.0038491070444312803
0.01,0.001,8,64,0.7711412310600281,0.003368233452732987
